region,soil_type,latitude,longitude,Alabasta militaris,Arcella conica,Arcella costata,Arcella excavata,Arcella gibbosa,Arcella hemisphaerica,Arcella intermedia,Arcella mitrata,Arcella rotundata,Arcella rotundata stenostoma,Arcella rotundata stenostoma undulata,Arcella vulgaris,Arcella vulgaris penardi,Arcella vulgaris polymorpha,Arcella vulgaris undulata,Archerella flavum,Argynnia dentistoma,Argynnia dentistoma lacustris,Argynnia dentistoma laevis,Argynnia vitraea,Argynnia vitraea minor,Assulina muscorum,Assulina scandinavica,Assulina seminulum,Awerintzewia cyclostoma,Bullinularia indica,Bullinularia indica minor,Centropyxis aculeata,Centropyxis aculeata grandis,Centropyxis aculeata oblonga,Centropyxis aerophila,Centropyxis aerophila sphagnicola,Centropyxis cassis,Centropyxis constricta,Centropyxis deflandriana,Centropyxis discoides,Centropyxis ecornis,Centropyxis elongata,Centropyxis gibba,Centropyxis laevigata,Centropyxis minuta,Centropyxis orbicularis,Centropyxis plagiostoma,Centropyxis platystoma,Centropyxis spinosa,Centropyxis sylvatica,Centropyxis sylvatica minor,Corythion dubium,Corythion dubium minima,Corythion orbicularis,Cryptodifflugia compressa,Cryptodifflugia oviformis,Cyclopyxis arcelloides,Cyclopyxis eurystoma,Cyclopyxis kahli,Cyclopyxis plana,Cyphoderia ampulla,Cyphoderia trochus,Difflugia acutissimella,Difflugia bacillariarum,Difflugia bacillifera,Difflugia bicornis,Difflugia bryophila,Difflugia decloitrei,Difflugia elegans,Difflugia gassowskii,Difflugia geosphaerica,Difflugia glans,Difflugia globulosa,Difflugia juzephiniensis,Difflugia labiosa,Difflugia lemani,Difflugia lucida,Difflugia minuta,Difflugia oblonga,Difflugia parva,Difflugia penardi,Difflugia pristis,Difflugia pulex,Difflugia pyriformis,Ellipsopyxis pauliani,Euglypha acanthophora,Euglypha anodonta,Euglypha anodonta magna,Euglypha bryophila,Euglypha capsiosa,Euglypha ciliata,Euglypha ciliata glabra,Euglypha compressa,Euglypha compressa glabra,Euglypha cristata,Euglypha cristata decora,Euglypha denticulata,Euglypha filifera,Euglypha filifera pyriformis,Euglypha hyalina,Euglypha laevis,Euglypha rotunda,Euglypha rotunda obliqua,Euglypha simplex,Euglypha strigosa,Euglypha strigosa glabra,Euglypha strigosa heterospina,Euglypha strigosa muscorum,Euglypha tuberculata,Euglypha tuberculata minor,Galeripora arenaria,Galeripora arenaria compressa,Galeripora arenaria sphagnicola,Galeripora artocrea pseudocatinus,Galeripora catinus,Galeripora discoides,Galeripora discoides foveosa,Galeripora discoides pseudovulgaris undulata,Galeripora discoides scutelliformis,Galeripora megastoma,Galeripora polypora undulata,Gibbocarina galeata,Gibbocarina galeata orbicularis,Gibbocarina gracilis,Heleopera lata,Heleopera petricola,Heleopera rosea,Heleopera sphagni,Heleopera sylvatica,Hyalosphenia elegans,Hyalosphenia minuta,Hyalosphenia papilio,Lesquereusia epistomium,Lesquereusia inequalis,Lesquereusia modesta,Lesquereusia spiralis,Longinebela penardiana,Longinebela speciosa,Microchlamys patella,Mrabella subcarinata,Nebela bohemica,Nebela collaris,Nebela parvula,Nebela tincta,Netzelia oviformis,Netzelia tuberculata,Netzelia wailesi,Padaungiella lageniformis,Padaungiella wailesi,Phryganella acropodia,Phryganella acropodia penardi,Phryganella hemisphaerica,Physochila griseola,Physochila tenella,Placocista spinosa,Plagiopyxis callida,Plagiopyxis declivis,Plagiopyxis labiata,Plagiopyxis penardi,Planocarina carinata,Planocarina marginata,Pseudodifflugia gracilis,Quadrulella symmetrica,Scutiglypha scutigera,Sphenoderia fissirostris,Sphenoderia lenta,Tracheleuglypha dentata,Trigonopyxis arcula,Trigonopyxis arcula major,Trigonopyxis microstoma,Trigonopyxis minuta,Trinema chardezi,Trinema complanatum,Trinema enchelys,Trinema grandis,Trinema leidyi,Trinema lineare,Trinema lineare truncatum,Trinema penardi,Wailesella eboracensis,Zivkovicia spectabilis
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0.010204082,0,0,0,0,0,0.040816327,0,0,0.459183673,0.040816327,0.010204082,0,0,0,0,0,0,0,0.010204082,0.030612245,0,0,0,0,0,0.010204082,0,0,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0.010204082,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0.040816327,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0.081632653,0,0.051020408,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0.080808081,0,0,0,0,0,0,0,0,0,0,0,0,0.080808081,0,0,0,0,0.02020202,0,0,0,0,0,0,0,0,0.131313131,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0.01010101,0,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0.01010101,0,0,0.01010101,0,0,0.04040404,0.01010101,0,0,0.101010101,0.01010101,0,0,0,0,0.01010101,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0.02020202,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0.131313131,0,0.02020202,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070707071,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131313131,0,0,0,0.171717172,0,0.03030303,0.070707071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101010101,0,0,0,0,0,0,0,0,0.070707071,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0.202020202,0,0,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205882353,0.009803922,0,0,0.009803922,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0,0.068627451,0,0.029411765,0,0.019607843,0,0.254901961,0.009803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0.009803922,0,0,0.009803922,0,0,0,0.107843137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0,0,0,0,0,0,0,0.009803922,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0.068627451,0,0,0,0,0,0,0,0.009803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0,0,0.068627451,0,0,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072916667,0.010416667,0,0,0,0.010416667,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,0.041666667,0,0,0,0.010416667,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135416667,0,0,0,0,0,0,0,0,0.1875,0,0,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01980198,0.01980198,0,0,0,0,0.01980198,0,0.069306931,0,0,0,0,0,0,0.01980198,0,0,0,0,0,0,0,0,0,0,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069306931,0,0.03960396,0,0,0,0,0,0,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217821782,0,0,0,0,0.01980198,0,0,0,0,0,0,0,0.01980198,0,0,0,0.059405941,0,0,0,0,0,0,0,0,0,0.01980198,0,0.306930693,0,0,0,0,0,0,0,0,0,0,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0.01980198,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03960396,0.03960396,0,0,0,0,0,0.03960396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03960396,0.03960396,0.03960396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148514851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346534653,0,0,0.03960396,0,0,0,0,0,0,0,0,0.148514851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03960396,0,0,0,0,0,0,0,0,0.03960396,0,0,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098901099,0.043956044,0,0,0.076923077,0,0.010989011,0,0,0,0,0,0,0,0,0.032967033,0,0,0,0,0,0.010989011,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0.032967033,0,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032967033,0,0.043956044,0,0,0,0,0,0,0,0,0,0,0,0,0.010989011,0.010989011,0,0,0,0,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0,0,0,0.032967033,0,0,0,0,0,0.010989011,0.010989011,0,0,0,0,0,0.032967033,0,0.010989011,0,0.208791209,0,0,0,0.010989011,0,0,0,0,0,0.043956044,0,0.043956044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0.065934066,0,0,0,0.010989011
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267326733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178217822,0,0,0,0.089108911,0,0.04950495,0.04950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178217822,0,0,0,0,0,0,0,0,0.089108911,0,0,0,0
Baikal,organic soil,52.011,104.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346534653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03960396,0,0,0,0.099009901,0,0.128712871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03960396,0,0,0,0,0.079207921,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059405941,0,0,0,0,0,0,0,0,0.188118812,0,0,0,0
